dates,gr,gy,gc
2018-01-01,-0.314480819,0.327629924,0.332198651
2018-04-01,0.029152245,0.385107038,0.223172132
2018-07-01,0.080029883,-0.104987943,0.065400032
2018-10-01,0.280504266,0.743825713,0.279725064
2019-01-01,0.082029965,0.648015201,0.665831169
2019-04-01,0.257774398,0.944030397,0.909625073
2019-07-01,0.184518121,0.455094019,0.42934608
2019-10-01,-0.09748959,-1.176498696,-1.552343515
2020-01-01,0.676267974,-8.365959192,-9.212765252
2020-04-01,-0.876579871,7.2802086,8.326053677
2020-07-01,-0.593837019,0.927000105,1.149222
2020-10-01,-1.243108789,1.445934312,2.307321567
2021-01-01,-1.532441516,1.575341121,3.322584684
2021-04-01,-1.518442886,0.669420126,0.675824893
2021-07-01,-1.693643225,1.544987786,0.80028623
2021-10-01,-1.98692618,-0.749655081,-0.401857814
2022-01-01,-2.157469817,0.016769838,0.674899834
2022-04-01,-0.830708447,0.532519634,0.281566495
2022-07-01,-0.282351302,0.494252375,0.005063499
2022-10-01,0.078959363,0.186588819,0.565258834
2023-01-01,0.637779084,0.435946239,0.183409495
2023-04-01,0.45551681,0.924836623,0.534824748
2023-07-01,0.923829455,0.614733919,0.523141287
2023-10-01,0.537847404,0.249228393,0.469240316
2024-01-01,0.67193096,0.680455499,0.752408085
2024-04-01,0.888255236,0.594626449,0.743737802
2024-07-01,0.649432018,0.234791331,0.730967064
2024-10-01,0.212686924,-1.412492005,-1.097376099
2025-01-01,0.527921449,0.744936586,0.412641166
